question,answer
Хто може бути страхувальником по ОСЦПВ по новому Закону?,Будь-яка особа.
"Що робити, якщо в 1С помилка «Розмір КВ не відповідає розрахунковому значенню, заповніть агентів на закладці 'Страхові посередники' !»",Перейдіть на вкладку «Страхові посередники» - натисніть кнопку «Заповнити агентів та розміри КВ».
Чи працює пряме врегулювання в УСГ?,"Так, але при наступних умовах:"
"Чи потрібно заповнювати ОТК та страхувати на термін, не довший наступного ОТК?","Ні, всі обмеження щодо ОТК зняті."
На який термін можна оформити поліс ОСЦПВ?,"Договір укладається строком на шість місяців або один рік, крім випадків, що зазначені далі.
Укладення внутрішнього договору страхування на строк менше шести місяців (строком на 15 календарних днів, 21 календарний день, один місяць, два місяці, три місяці, чотири місяці, п’ять місяців) допускається виключно щодо транспортного засобу: 1) незареєстрованого відповідно до Закону України ""Про дорожній рух"" - на час до його реєстрації;
2) який тимчасово перебуває на території України та зареєстрований в іноземній державі, - на час його перебування на території України."
"Показники  максимальний пробіг і показники одометра, чи обов'язково заповнювати?","Ні, але інформація може знадобитися в майбутньому для аналізу впливу цих факторів на збитковість. Інструкція щодо заповнення полісу ОСЦПВ за посиланням:"
Який ліміт відшкодування по Європротоколу?,"Відшкодування проводиться у межах страхової суми, якщо НБУ не встановить максимальних розмірів виплати. На разі, НБУ не встановив ніяких обмежень."
Чи обов'язково поліс ОСЦПВ потрібно підписувати? У 18 розділі полісу стоять реквізити сторін для печаті та підпису.,"Форма полісу однакова, як для електронного договору, так і для паперового. *Паперові договори можна назвати електронно-паперовими, тому що реєстрація в ЦБД МТСБУ та присвоєння номеру відбувається одночасно з проведенням договору в системі. А раніше, паперові поліси мали вже надруковані номера. Вже відсутня необхідність замовляти спеціальні бланки полісів, виготовлених типографічних методом з дотриманням норм бумаги. Паперові договори друкуються на звичайному А4-форматі."
"Питання по віку: якщо при оформленні ставимо вік 50, а якщо за кермо сів 25 років, то які наслідки*?","Відповідно до п.2 статті 36 Закону Про ОСЦПВ: Якщо умовами внутрішнього договору страхування передбачені обмеження щодо умов використання забезпеченого транспортного засобу, особа, яка спричинила дорожньо-транспортну пригоду та використовувала забезпечений транспортний засіб з порушенням таких умов, зобов’язана сплатити страховику, який здійснив страхову виплату, штраф у десятикратному розмірі страхової премії за таким договором, але не більше 50 відсотків такої страхової виплати. В полісі ОСЦПВ можуть бути застосовані наступні обмеження: -використання в таксі; -найменший вік осіб, допущених до керування ТЗ; -найбільший вік осіб, допущених до керування ТЗ; -максимальний пробіг ТЗ протягом дії полісу. ПАТ «СК «УСГ» використовує обмеження щодо використання в таксі та найменшого віку осіб, допущених до керування ТЗ. Тому, у разі ситуації, коли полісом передбачено мінімальний вік 50, а виною являється 25-річна особа, то ПАТ «УСГ» має право застосувати штраф у десятикратному розмірі страхової премії за таким договором, але не більше 50 відсотків такої страхової виплати. Вік осіб, які можуть керувати ТЗ, становитиме не менше, повних років – зазначено в п.13.3.1 полісу ОСЦПВ. Застосування обмежень щодо таксі – зазначено в п.14.1 полісу ОСЦПВ. Застосування обмежень щодо мінімального віку водія – зазначено в п.14.2 полісу ОСЦПВ. *Стосується полісів, виписаних до 14.01.2025р."
В полісах для юридичних стоїть вік водія. Чи впливає на тариф?,"Вік водія для юридичних осіб не впливає на тариф, процес врегулювання, накладання штрафів. В майбутньому, планується прибрати або зашити поле для юридичних осіб."
"Чи може Страховик застосувати санкції, якщо страхувальник надасть недостовірні відомості?","Так, відповідно до п.1 статті 36 Закону Про ОСЦПВ: Страхувальник, який під час укладення внутрішнього договору страхування надав відомості, передбачені  статті 11 цього Закону, які виявилися недостовірними, що призвело до зменшення розміру страхової премії за таким договором, зобов’язаний сплатити страховику, який здійснив страхову виплату, штраф у п’ятикратному розмірі страхової премії за таким договором, але не більше 50 відсотків розміру страхової виплати. Статтею 11 Закону Про ОСЦПВ передбачено: Особа, яка звернулася за укладенням договору обов’язкового страхування цивільно-правової відповідальності, надає страховику відомості, що мають істотне значення для оцінки страхового ризику, та/або інформацію про інші обставини, що враховуються під час визначення розміру страхової премії за договором обов’язкового страхування цивільно-правової відповідальності, у формі та у спосіб, визначені страховиком. Страховик зобов’язаний розмістити на своєму веб-сайті перелік відомостей, що мають істотне значення для оцінки страхового ризику, та/або інформації про інші обставини, що враховуються під час визначення розміру страхової премії за договором обов’язкового страхування цивільно-правової відповідальності. Якщо особа звернулася за укладенням договору обов’язкового страхування цивільно-правової відповідальності до страхового посередника, страховий посередник зобов’язаний ознайомити її з відомостями, передбаченими абзацом другим цієї частини. Перелік відомостей на сайті ПАТ «СК «УСГ»: .."
Чи потрібно страхувати учасників бойових дій?,"Так (стаття 13 ЗУ Про ОСЦПВ 3720). При цьому усі категорії пільговиків мають право на укладення внутрішнього договору страхування за 50% від вартості, а саме: учасники бойових дій; потерпілі Революції гідності; інваліди війни, відповідно до Закону; інваліди І групи та особи, які керують ТЗ, що належить інваліду I групи в його присутності; учасники війни; інваліди ІІ групи; особи, що постраждали в результаті Чорнобильської аварії та віднесені до І та ІІ категорій; пенсіонери. Забезпечений транспортний засіб: має робочий об’єм двигуна до 2500 сантиметрів кубічних або потужність електродвигуна до 100 кіловат включно; належить цьому громадянину на праві власності. Зазначена пільга надається за умови: особистого керування таким транспортним засобом собою, яка належить до визначених у цьому пункті категорій громадян України (для інваліда І групи - іншою особою за присутності страхувальника); без мети надання платних послуг з перевезення пасажирів та/або вантажу; страхування не більше одного ТЗ. У разі порушення умов використання транспортного засобу, щодо якого укладено внутрішній договір страхування відповідно до переліку пільгової категорії громадян, у Страховика виникає право зворотньої вимоги відповідальної за заподіяння шкоди (п. 4. Частина 1 ст 37 ЗУ Про ОСЦПВ3720 : «4) особи, яка спричинила дорожньо-транспортну пригоду, або особи, яка відповідно до закону несе цивільну відповідальність за заподіяну шкоду, у разі використання транспортного засобу з недотриманням умов, визначених статтею 13 цього Закону, якщо внутрішній договір страхування укладено з особливостями, визначеними  цього Закону.»)"
"Чи розповсюджується поліс, який оформив чоловік-пенсіонер зі знижкою 50%, на дружину-пенсіонерку?","Так, розповсюджується. Знижки 50%, передбаченої статтею 13 Закону Про ОСЦПВ, надається за умови керування таким транспортним засобом виключно страхувальником або особою, яка також належить до категорій, визначених статтею 13 Закону Про ОСЦПВ (всі пільговики)."
Чи коректно відображаються ціни ОСЦПВ в Особистому кабінеті?,"Через технічні проблеми, можливі деякі розбіжності. Просимо перевіряти з 1С, калькулятором чи таблицями розрахунків тарифу. В разі чого, повідомляйте на електрону пошту Motor@usg.ua."
Чи працюють переоформлення полісів в ОСЦПВ?,"Так, вже можна провести переоформлення полісу ОСЦПВ. Переоформлення відбувається на умовах, які відповідають першому укладеному полісу."
Що відображати в полі «Посередник» та «Куратор» в Особистому кабінеті?,"В найближчому майбутньому, дані поля приберуть з відображення. Як і раніше, будете заповнювати лише Програму страхування з буквами."
Чи дійсно почалися фіксації та штрафи на водіїв за відсутність полісу ОСЦПВ в автоматичному режимі?,"Ця інформація не відповідає дійсності і ось чому. - Наразі немає законодавчих підстав для застосування системи автофіксації щодо саме цього правопорушення. Потрібні зміни до Кодексу України про адміністративні правопорушення та підзаконних нормативно-правових актів, що регулюють це питання, де потрібно передбачити можливість фіксації саме цього правопорушення. - Система автофіксації поки, що технічно не адаптована для фіксації цього порушення. Це питання буде опрацьовуватись як технічно, так і нормативно, і про початок фіксації такого виду правопорушення в автоматичному режимі буде повідомлення з офіційних джерел, як і раніше. Проте, дане порушення може фіксуватися під час зупинки транспортного засобу поліцейськими, як і раніше, тому поліс треба оформлювати."
Що змінилось в договорі ДЦВ?,"Змінився підхід по врегулювання. Розрахунок страхового відшкодування відбувається відповідно до Закону Про ОСЦПВ, на підставі якого заключений договір ДЦВ. Якщо поліс ОСЦПВ винуватця (нашого страхувальника) оформлений після 2025 року, тоді виплата потерпілому відбувається по новому Закону Про ОСЦПВ 3720-ІХ. І навпаки, якщо поліс ОСЦПВ винуватця (нашого страхувальника) оформлений у 2024 році, то виплата потерпілому відбувається по старому Закону Про ОСЦПВ 1961-ІV."
Нова редакція Загальних умов ОСЦПВ –,
Нова редакція Загальних умов ДЦВ -,
Як правильно переоформлювати поліс ОСЦПВ?,Для переоформлення полісу ОСЦПВ необхідно:
Знайти попередній поліс в журналі договорів ОСЦПВ.,
Написнути «Ще» - «Створити на підставі» - «Поліс ОСЦПВ».,
Обрати категорію документа «Переоформлений».,
Обрати причину переоформлення.,
Перевести у статус «Електронний» або «Паперовий» (в залежності від типу першого полісу) та провести.,
